AL,Alabama,1000,0.15
AK,Alaska,2000,0.09
AZ,Arizona,4000,0.13
AR,Arkansas,5000,0.14
CA,California,6000,0.23
CO,Colorado,8000,0.1
CT,Connecticut,9000,0.09
DE,Delaware,10000,0.11
DC,District of Columbia,11000,0.19
FL,Florida,12000,0.2
GA,Georgia,13000,0.17
HI,Hawaii,15000,0.16
ID,Idaho,16000,0.11
IL,Illinois,17000,0.13
IN,Indiana,18000,0.08
IA,Iowa,19000,0.07
KA,Kansas,20000,0.08
KY,Kentucky,21000,0.12
LA,Louisiana,22000,0.16
ME,Maine,23000,0.07
MD,Maryland,24000,0.11
MA,Massachusetts,25000,0.1
MI,Michigan,26000,0.08
MN,Minnesota,27000,0.06
MS,Mississippi,28000,0.16
MO,Missouri,29000,0.07
MT,Montana,30000,0.09
NE,Nebraska,31000,0.07
NV,Nevada,32000,0.16
NH,New Hampshire,33000,0.06
NJ,New Jersey,34000,0.17
NM,New Mexico,35000,0.16
NY,New York,36000,0.22
NC,North Carolina,37000,0.14
ND,North Dakota,38000,0.06
OH,Ohio,39000,0.09
OK,Oklahoma,40000,0.12
OR,Oregon,41000,0.1
PA,Pennsylvania,42000,0.13
RI,Rhode Island,44000,0.08
SC,South Carolina,45000,0.15
SD,South Dakota,46000,0.07
TN,Tennessee,47000,0.13
TX,Texas,48000,0.19
UT,Utah,49000,0.09
VT,Vermont,50000,0.07
VA,Virginia,51000,0.12
WA,Washington,53000,0.1
WV,West Virginia,54000,0.13
WI,Wisconsin,55000,0.07
WY,Wyoming,56000,0.09
